label,ss
genetic similarity evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0000253]
green fluorescent protein reporter gene assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0005637]
in vivo deacetylation assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001209]
RNA-sequencing evidence,[http://purl.obolibrary.org/obo/ECO_0000295]
protein hydrogen-deuterium exchange mass spectrometry evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006236]
bacterial one-hybrid evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006089]
localization evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007724]
fluorescence in situ hybridization evidence,[http://purl.obolibrary.org/obo/ECO_0001047]
curator inference from MedlinePlus dictionary used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007840]
"differential geneset expression evidence from RNA-seq experiment (GSEA, Fisher-exact) used in automatic assertion",[http://purl.obolibrary.org/obo/ECO_0007259]
protein separation evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007684]
chain termination sequencing evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007128]
protein-oligonucleotide microarray binding evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007577]
cryogenic electron microscopy evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006208]
biofilm formation assay evidence,[http://purl.obolibrary.org/obo/ECO_0006020]
plaque assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007040]
mutant physiological response evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007221]
Northwestern blot evidence,[http://purl.obolibrary.org/obo/ECO_0000146]
quantitative polymerase chain reaction evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0005660]
high throughput expression pattern evidence,[http://purl.obolibrary.org/obo/ECO_0007006]
radioimmunoassay evidence,[http://purl.obolibrary.org/obo/ECO_0001121]
intermethylated site amplification evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007206]
natural variation mutant evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001237]
protein:ion binding evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006085]
far-Western blotting evidence,[http://purl.obolibrary.org/obo/ECO_0000076]
spatial pattern of protein expression evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007312]
luminescence-based mammalian interactome mapping assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007429]
rotary shadowing electron microscopy evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006281]
reconstituted bilayer single-channel patch recording evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007178]
colony boundary assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006245]
yellow fluorescent protein fusion protein localization evidence,[http://purl.obolibrary.org/obo/ECO_0000128]
transient rescue experiment evidence,[http://purl.obolibrary.org/obo/ECO_0000038]
in vivo deubiquitination assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007416]
cytochemistry evidence,[http://purl.obolibrary.org/obo/ECO_0001035]
urea-induced protein unfolding evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006313]
propidium iodide staining evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001248]
automatically integrated combinatorial computational and experimental evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007666]
induced mutation evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007426]
DNA synthesis cell proliferation assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007776]
colony morphology phenotypic evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007078]
in vitro polyADP-ribosylation assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007404]
cut-open oocyte voltage clamp recording evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007181]
crystal violet staining evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007621]
3D cell culture evidence,[http://purl.obolibrary.org/obo/ECO_0001001]
cell transfection experiment evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007530]
patch-clamp recording evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006013]
transgenic organism evidence,[http://purl.obolibrary.org/obo/ECO_0001131]
self-reported individual's statement evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006157]
chromatin immunoprecipitation-seq evidence,[http://purl.obolibrary.org/obo/ECO_0000229]
in vitro demethylation assay evidence,[http://purl.obolibrary.org/obo/ECO_0001062]
medical imaging evidence,[http://purl.obolibrary.org/obo/ECO_0001097]
copper transport assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007036]
immunoperoxidase immunolocalization evidence,[http://purl.obolibrary.org/obo/ECO_0005594]
extracellular recording evidence,[http://purl.obolibrary.org/obo/ECO_0006043]
competitive growth assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007251]
neutralization test assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007034]
author inference used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006216]
agglutination test evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007596]
protein detection assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007738]
array experiment evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0000271]
radioisotope assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007455]
structural similarity evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007090]
